Ticker,ICICIBANK.NS,ICICIBANK.NS,ICICIBANK.NS,ICICIBANK.NS,ICICIBANK.NS,Date,sentiment_compound,sentiment_positive,sentiment_negative,sentiment_strength,positive_ratio,negative_ratio
,916.9696757843908,916.9696757843908,916.9696757843908,916.9696757843908,916.9696757843908,2023-10-20,0,0,0,0,0,0
,926.8084170823352,926.8084170823352,926.8084170823352,926.8084170823352,926.8084170823352,2023-10-23,0,0,0,0,0,0
,911.1155983660612,911.1155983660612,911.1155983660612,911.1155983660612,911.1155983660612,2023-10-25,0,0,0,0,0,0
,899.5551235944749,899.5551235944749,899.5551235944749,899.5551235944749,899.5551235944749,2023-10-26,0,0,0,0,0,0
,901.227738868632,901.227738868632,901.227738868632,901.227738868632,901.227738868632,2023-10-27,0,0,0,0,0,0
,894.4389499383923,894.4389499383923,894.4389499383923,894.4389499383923,894.4389499383923,2023-10-30,0,0,0,0,0,0
,914.3132372166476,914.3132372166476,914.3132372166476,914.3132372166476,914.3132372166476,2023-10-31,0,0,0,0,0,0
,899.0631748056227,899.0631748056227,899.0631748056227,899.0631748056227,899.0631748056227,2023-11-01,0,0,0,0,0,0
,905.2123769553756,905.2123769553756,905.2123769553756,905.2123769553756,905.2123769553756,2023-11-02,0,0,0,0,0,0
,913.5753279987292,913.5753279987292,913.5753279987292,913.5753279987292,913.5753279987292,2023-11-03,0,0,0,0,0,0
,925.8245725876784,925.8245725876784,925.8245725876784,925.8245725876784,925.8245725876784,2023-11-06,0,0,0,0,0,0
,928.3825689148798,928.3825689148798,928.3825689148798,928.3825689148798,928.3825689148798,2023-11-07,0,0,0,0,0,0
,933.1543790682604,933.1543790682604,933.1543790682604,933.1543790682604,933.1543790682604,2023-11-08,0,0,0,0,0,0
,918.9373868552664,918.9373868552664,918.9373868552664,918.9373868552664,918.9373868552664,2023-11-09,0,0,0,0,0,0
,919.8229744492044,919.8229744492044,919.8229744492044,919.8229744492044,919.8229744492044,2023-11-10,0,0,0,0,0,0
,925.72618120136,925.72618120136,925.72618120136,925.72618120136,925.72618120136,2023-11-13,0,0,0,0,0,0
,929.169741735814,929.169741735814,929.169741735814,929.169741735814,929.169741735814,2023-11-15,0,0,0,0,0,0
