Ticker,LT.NS,LT.NS,LT.NS,LT.NS,LT.NS,Date,sentiment_compound,sentiment_positive,sentiment_negative,sentiment_strength,positive_ratio,negative_ratio
,2320.508651445853,2320.508651445853,2320.508651445853,2320.508651445853,2320.508651445853,2023-06-21,0,0,0,0,0,0
,2332.783501555003,2332.783501555003,2332.783501555003,2332.783501555003,2332.783501555003,2023-06-22,0,0,0,0,0,0
,2356.504712844965,2356.504712844965,2356.504712844965,2356.504712844965,2356.504712844965,2023-06-23,0,0,0,0,0,0
,2336.193133212688,2336.193133212688,2336.193133212688,2336.193133212688,2336.193133212688,2023-06-26,0,0,0,0,0,0
,2325.8179817425366,2325.8179817425366,2325.8179817425366,2325.8179817425366,2325.8179817425366,2023-06-27,0,0,0,0,0,0
,2338.043965175744,2338.043965175744,2338.043965175744,2338.043965175744,2338.043965175744,2023-06-28,0,0,0,0,0,0
,2357.5277728385217,2357.5277728385217,2357.5277728385217,2357.5277728385217,2357.5277728385217,2023-06-30,0,0,0,0,0,0
,2414.225202922609,2414.225202922609,2414.225202922609,2414.225202922609,2414.225202922609,2023-07-03,0,0,0,0,0,0
,2394.7416892168835,2394.7416892168835,2394.7416892168835,2394.7416892168835,2394.7416892168835,2023-07-04,0,0,0,0,0,0
,2397.46929680723,2397.46929680723,2397.46929680723,2397.46929680723,2397.46929680723,2023-07-05,0,0,0,0,0,0
,2404.386140702808,2404.386140702808,2404.386140702808,2404.386140702808,2404.386140702808,2023-07-06,0,0,0,0,0,0
,2418.6580484170604,2418.6580484170604,2418.6580484170604,2418.6580484170604,2418.6580484170604,2023-07-07,0,0,0,0,0,0
,2386.7530373045875,2386.7530373045875,2386.7530373045875,2386.7530373045875,2386.7530373045875,2023-07-10,0,0,0,0,0,0
,2384.0256213192624,2384.0256213192624,2384.0256213192624,2384.0256213192624,2384.0256213192624,2023-07-11,0,0,0,0,0,0
,2416.271124558023,2416.271124558023,2416.271124558023,2416.271124558023,2416.271124558023,2023-07-12,0,0,0,0,0,0
,2402.340096578115,2402.340096578115,2402.340096578115,2402.340096578115,2402.340096578115,2023-07-13,0,0,0,0,0,0
,2386.996642319591,2386.996642319591,2386.996642319591,2386.996642319591,2386.996642319591,2023-07-14,0,0,0,0,0,0
,2411.108015017496,2411.108015017496,2411.108015017496,2411.108015017496,2411.108015017496,2023-07-17,0,0,0,0,0,0
,2405.262623082758,2405.262623082758,2405.262623082758,2405.262623082758,2405.262623082758,2023-07-18,0,0,0,0,0,0
,2410.718058987767,2410.718058987767,2410.718058987767,2410.718058987767,2410.718058987767,2023-07-19,0,0,0,0,0,0
,2429.6172655092355,2429.6172655092355,2429.6172655092355,2429.6172655092355,2429.6172655092355,2023-07-20,0,0,0,0,0,0
,2456.8946945610805,2456.8946945610805,2456.8946945610805,2456.8946945610805,2456.8946945610805,2023-07-21,0,0,0,0,0,0
,2569.55885882584,2569.55885882584,2569.55885882584,2569.55885882584,2569.55885882584,2023-07-24,0,0,0,0,0,0
,2548.467722699559,2548.467722699559,2548.467722699559,2548.467722699559,2548.467722699559,2023-07-25,0,0,0,0,0,0
,2524.1132913985,2524.1132913985,2524.1132913985,2524.1132913985,2524.1132913985,2023-07-26,0,0,0,0,0,0
,2600.050974107036,2600.050974107036,2600.050974107036,2600.050974107036,2600.050974107036,2023-07-27,0,0,0,0,0,0
,2591.478073530437,2591.478073530437,2591.478073530437,2591.478073530437,2591.478073530437,2023-07-28,0,0,0,0,0,0
,2586.4612330542,2586.4612330542,2586.4612330542,2586.4612330542,2586.4612330542,2023-07-31,0,0,0,0,0,0
,2612.1310123263825,2612.1310123263825,2612.1310123263825,2612.1310123263825,2612.1310123263825,2023-08-01,0,0,0,0,0,0
,2593.2393620081925,2593.2393620081925,2593.2393620081925,2593.2393620081925,2593.2393620081925,2023-08-02,0,0,0,0,0,0
,2570.629507570981,2570.629507570981,2570.629507570981,2570.629507570981,2570.629507570981,2023-08-03,0,0,0,0,0,0
,2560.79908171002,2560.79908171002,2560.79908171002,2560.79908171002,2560.79908171002,2023-08-04,0,0,0,0,0,0
,2583.4089453335787,2583.4089453335787,2583.4089453335787,2583.4089453335787,2583.4089453335787,2023-08-07,0,0,0,0,0,0
,2594.2714649771096,2594.2714649771096,2594.2714649771096,2594.2714649771096,2594.2714649771096,2023-08-08,0,0,0,0,0,0
,2590.290209773469,2590.290209773469,2590.290209773469,2590.290209773469,2590.290209773469,2023-08-09,0,0,0,0,0,0
,2595.3037821301805,2595.3037821301805,2595.3037821301805,2595.3037821301805,2595.3037821301805,2023-08-10,0,0,0,0,0,0
,2597.2207700100184,2597.2207700100184,2597.2207700100184,2597.2207700100184,2597.2207700100184,2023-08-11,0,0,0,0,0,0
,2592.256233943249,2592.256233943249,2592.256233943249,2592.256233943249,2592.256233943249,2023-08-14,0,0,0,0,0,0
,2623.7132496036984,2623.7132496036984,2623.7132496036984,2623.7132496036984,2623.7132496036984,2023-08-16,0,0,0,0,0,0
,2645.389354746101,2645.389354746101,2645.389354746101,2645.389354746101,2645.389354746101,2023-08-17,0,0,0,0,0,0
,2605.035773008495,2605.035773008495,2605.035773008495,2605.035773008495,2605.035773008495,2023-08-18,0,0,0,0,0,0
,2597.0241168644384,2597.0241168644384,2597.0241168644384,2597.0241168644384,2597.0241168644384,2023-08-21,0,0,0,0,0,0
,2622.730127187712,2622.730127187712,2622.730127187712,2622.730127187712,2622.730127187712,2023-08-22,0,0,0,0,0,0
,2643.914664535535,2643.914664535535,2643.914664535535,2643.914664535535,2643.914664535535,2023-08-23,0,0,0,0,0,0
,2700.8813963683565,2700.8813963683565,2700.8813963683565,2700.8813963683565,2700.8813963683565,2023-08-24,0,0,0,0,0,0
,2632.0200312859306,2632.0200312859306,2632.0200312859306,2632.0200312859306,2632.0200312859306,2023-08-25,0,0,0,0,0,0
,2608.52565307271,2608.52565307271,2608.52565307271,2608.52565307271,2608.52565307271,2023-08-28,0,0,0,0,0,0
,2664.017825916,2664.017825916,2664.017825916,2664.017825916,2664.017825916,2023-08-29,0,0,0,0,0,0
,2676.7479214154737,2676.7479214154737,2676.7479214154737,2676.7479214154737,2676.7479214154737,2023-08-30,0,0,0,0,0,0
,2673.848060826761,2673.848060826761,2673.848060826761,2673.848060826761,2673.848060826761,2023-08-31,0,0,0,0,0,0
,2664.017568257907,2664.017568257907,2664.017568257907,2664.017568257907,2664.017568257907,2023-09-01,0,0,0,0,0,0
,2686.627433729209,2686.627433729209,2686.627433729209,2686.627433729209,2686.627433729209,2023-09-04,0,0,0,0,0,0
,2674.3394206427047,2674.3394206427047,2674.3394206427047,2674.3394206427047,2674.3394206427047,2023-09-05,0,0,0,0,0,0
,2693.508612317878,2693.508612317878,2693.508612317878,2693.508612317878,2693.508612317878,2023-09-06,0,0,0,0,0,0
,2686.6274955497342,2686.6274955497342,2686.6274955497342,2686.6274955497342,2686.6274955497342,2023-09-07,0,0,0,0,0,0
,2838.9976065536307,2838.9976065536307,2838.9976065536307,2838.9976065536307,2838.9976065536307,2023-09-08,0,0,0,0,0,0
,2855.709082930629,2855.709082930629,2855.709082930629,2855.709082930629,2855.709082930629,2023-09-11,0,0,0,0,0,0
,2901.5184948693486,2901.5184948693486,2901.5184948693486,2901.5184948693486,2901.5184948693486,2023-09-12,0,0,0,0,0,0
,2893.5556370174218,2893.5556370174218,2893.5556370174218,2893.5556370174218,2893.5556370174218,2023-09-13,0,0,0,0,0,0
,2875.271036401324,2875.271036401324,2875.271036401324,2875.271036401324,2875.271036401324,2023-09-14,0,0,0,0,0,0
,2883.233822929619,2883.233822929619,2883.233822929619,2883.233822929619,2883.233822929619,2023-09-15,0,0,0,0,0,0
,2860.62392085558,2860.62392085558,2860.62392085558,2860.62392085558,2860.62392085558,2023-09-18,0,0,0,0,0,0
