Ticker,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,Date,sentiment_compound,sentiment_positive,sentiment_negative,sentiment_strength,positive_ratio,negative_ratio
,1253.9963391795925,1253.9963391795925,1253.9963391795925,1253.9963391795925,1253.9963391795925,2023-07-17,0,0,0,0,0,0
,1285.9509768018002,1285.9509768018002,1285.9509768018002,1285.9509768018002,1285.9509768018002,2023-07-18,0,0,0,0,0,0
,1291.8854597114334,1291.8854597114334,1291.8854597114334,1291.8854597114334,1291.8854597114334,2023-07-19,0,0,0,0,0,0
,1276.014839753512,1276.014839753512,1276.014839753512,1276.014839753512,1276.014839753512,2023-07-20,0,0,0,0,0,0
,1290.3576048302098,1290.3576048302098,1290.3576048302098,1290.3576048302098,1290.3576048302098,2023-07-21,0,0,0,0,0,0
,1227.0514151401742,1227.0514151401742,1227.0514151401742,1227.0514151401742,1227.0514151401742,2023-07-24,0,0,0,0,0,0
,1233.4810641733905,1233.4810641733905,1233.4810641733905,1233.4810641733905,1233.4810641733905,2023-07-25,0,0,0,0,0,0
,1229.029726310642,1229.029726310642,1229.029726310642,1229.029726310642,1229.029726310642,2023-07-26,0,0,0,0,0,0
,1253.2889256301971,1253.2889256301971,1253.2889256301971,1253.2889256301971,1253.2889256301971,2023-07-27,0,0,0,0,0,0
,1242.4081558253793,1242.4081558253793,1242.4081558253793,1242.4081558253793,1242.4081558253793,2023-07-28,0,0,0,0,0,0
,1250.222567835286,1250.222567835286,1250.222567835286,1250.222567835286,1250.222567835286,2023-07-31,0,0,0,0,0,0
,1263.6503718598296,1263.6503718598296,1263.6503718598296,1263.6503718598296,1263.6503718598296,2023-08-01,0,0,0,0,0,0
,1240.998576334311,1240.998576334311,1240.998576334311,1240.998576334311,1240.998576334311,2023-08-02,0,0,0,0,0,0
,1224.23249959185,1224.23249959185,1224.23249959185,1224.23249959185,1224.23249959185,2023-08-03,0,0,0,0,0,0
,1235.8550243989196,1235.8550243989196,1235.8550243989196,1235.8550243989196,1235.8550243989196,2023-08-04,0,0,0,0,0,0
,1246.834785043854,1246.834785043854,1246.834785043854,1246.834785043854,1246.834785043854,2023-08-07,0,0,0,0,0,0
,1250.2967221809697,1250.2967221809697,1250.2967221809697,1250.2967221809697,1250.2967221809697,2023-08-08,0,0,0,0,0,0
,1238.8472469851745,1238.8472469851745,1238.8472469851745,1238.8472469851745,1238.8472469851745,2023-08-09,0,0,0,0,0,0
,1248.788167272386,1248.788167272386,1248.788167272386,1248.788167272386,1248.788167272386,2023-08-10,0,0,0,0,0,0
,1252.4975295128647,1252.4975295128647,1252.4975295128647,1252.4975295128647,1252.4975295128647,2023-08-11,0,0,0,0,0,0
,1255.737002454242,1255.737002454242,1255.737002454242,1255.737002454242,1255.737002454242,2023-08-14,0,0,0,0,0,0
,1261.672044700447,1261.672044700447,1261.672044700447,1261.672044700447,1261.672044700447,2023-08-16,0,0,0,0,0,0
,1269.6348629683328,1269.6348629683328,1269.6348629683328,1269.6348629683328,1269.6348629683328,2023-08-17,0,0,0,0,0,0
,1251.9041214413387,1251.9041214413387,1251.9041214413387,1251.9041214413387,1251.9041214413387,2023-08-18,0,0,0,0,0,0
,1260.6443643964944,1260.6443643964944,1260.6443643964944,1260.6443643964944,1260.6443643964944,2023-08-21,0,0,0,0,0,0
,1249.204008079304,1249.204008079304,1249.204008079304,1249.204008079304,1249.204008079304,2023-08-22,0,0,0,0,0,0
,1252.8272476636505,1252.8272476636505,1252.8272476636505,1252.8272476636505,1252.8272476636505,2023-08-23,0,0,0,0,0,0
,1260.6195534341234,1260.6195534341234,1260.6195534341234,1260.6195534341234,1260.6195534341234,2023-08-24,0,0,0,0,0,0
,1218.9778633049934,1218.9778633049934,1218.9778633049934,1218.9778633049934,1218.9778633049934,2023-08-25,0,0,0,0,0,0
,1226.9190501118926,1226.9190501118926,1226.9190501118926,1226.9190501118926,1226.9190501118926,2023-08-28,0,0,0,0,0,0
,1217.0173382536789,1217.0173382536789,1217.0173382536789,1217.0173382536789,1217.0173382536789,2023-08-29,0,0,0,0,0,0
,1207.0659417448908,1207.0659417448908,1207.0659417448908,1207.0659417448908,1207.0659417448908,2023-08-30,0,0,0,0,0,0
,1202.5989377093504,1202.5989377093504,1202.5989377093504,1202.5989377093504,1202.5989377093504,2023-08-31,0,0,0,0,0,0
,1194.4343955405525,1194.4343955405525,1194.4343955405525,1194.4343955405525,1194.4343955405525,2023-09-01,0,0,0,0,0,0
,1197.4619529612137,1197.4619529612137,1197.4619529612137,1197.4619529612137,1197.4619529612137,2023-09-04,0,0,0,0,0,0
,1201.1100268699734,1201.1100268699734,1201.1100268699734,1201.1100268699734,1201.1100268699734,2023-09-05,0,0,0,0,0,0
,1201.6560920331103,1201.6560920331103,1201.6560920331103,1201.6560920331103,1201.6560920331103,2023-09-06,0,0,0,0,0,0
,1201.9537313347682,1201.9537313347682,1201.9537313347682,1201.9537313347682,1201.9537313347682,2023-09-07,0,0,0,0,0,0
,1211.0365924741222,1211.0365924741222,1211.0365924741222,1211.0365924741222,1211.0365924741222,2023-09-08,0,0,0,0,0,0
,1216.9924464989117,1216.9924464989117,1216.9924464989117,1216.9924464989117,1216.9924464989117,2023-09-11,0,0,0,0,0,0
