Ticker,AXISBANK.NS,AXISBANK.NS,AXISBANK.NS,AXISBANK.NS,AXISBANK.NS,Date,sentiment_compound,sentiment_positive,sentiment_negative,sentiment_strength,positive_ratio,negative_ratio
,863.0636244684166,863.0636244684166,863.0636244684166,863.0636244684166,863.0636244684166,2023-04-18,0,0,0,0,0,0
,862.7145161360205,862.7145161360205,862.7145161360205,862.7145161360205,862.7145161360205,2023-04-19,0,0,0,0,0,0
,872.488653826795,872.488653826795,872.488653826795,872.488653826795,872.488653826795,2023-04-20,0,0,0,0,0,0
,868.4991631302372,868.4991631302372,868.4991631302372,868.4991631302372,868.4991631302372,2023-04-21,0,0,0,0,0,0
,865.7066060820845,865.7066060820845,865.7066060820845,865.7066060820845,865.7066060820845,2023-04-24,0,0,0,0,0,0
,882.6616898361922,882.6616898361922,882.6616898361922,882.6616898361922,882.6616898361922,2023-04-25,0,0,0,0,0,0
,875.0817699116577,875.0817699116577,875.0817699116577,875.0817699116577,875.0817699116577,2023-04-26,0,0,0,0,0,0
,885.6537654480087,885.6537654480087,885.6537654480087,885.6537654480087,885.6537654480087,2023-04-27,0,0,0,0,0,0
,882.7613161953902,882.7613161953902,882.7613161953902,882.7613161953902,882.7613161953902,2023-04-28,0,0,0,0,0,0
,867.7013024431587,867.7013024431587,867.7013024431587,867.7013024431587,867.7013024431587,2023-05-02,0,0,0,0,0,0
,861.5674950903395,861.5674950903395,861.5674950903395,861.5674950903395,861.5674950903395,2023-05-03,0,0,0,0,0,0
,857.7276963008517,857.7276963008517,857.7276963008517,857.7276963008517,857.7276963008517,2023-05-04,0,0,0,0,0,0
,864.8588202859523,864.8588202859523,864.8588202859523,864.8588202859523,864.8588202859523,2023-05-05,0,0,0,0,0,0
,863.013687929964,863.013687929964,863.013687929964,863.013687929964,863.013687929964,2023-05-08,0,0,0,0,0,0
,879.8690735863491,879.8690735863491,879.8690735863491,879.8690735863491,879.8690735863491,2023-05-09,0,0,0,0,0,0
,889.6431942064683,889.6431942064683,889.6431942064683,889.6431942064683,889.6431942064683,2023-05-10,0,0,0,0,0,0
,888.6458302181073,888.6458302181073,888.6458302181073,888.6458302181073,888.6458302181073,2023-05-11,0,0,0,0,0,0
,892.8347664423467,892.8347664423467,892.8347664423467,892.8347664423467,892.8347664423467,2023-05-12,0,0,0,0,0,0
,908.2439536374152,908.2439536374152,908.2439536374152,908.2439536374152,908.2439536374152,2023-05-15,0,0,0,0,0,0
,913.779312757632,913.779312757632,913.779312757632,913.779312757632,913.779312757632,2023-05-16,0,0,0,0,0,0
,915.275357867754,915.275357867754,915.275357867754,915.275357867754,915.275357867754,2023-05-17,0,0,0,0,0,0
,917.5691873556405,917.5691873556405,917.5691873556405,917.5691873556405,917.5691873556405,2023-05-18,0,0,0,0,0,0
,918.4668189387248,918.4668189387248,918.4668189387248,918.4668189387248,918.4668189387248,2023-05-19,0,0,0,0,0,0
,920.5612837744666,920.5612837744666,920.5612837744666,920.5612837744666,920.5612837744666,2023-05-22,0,0,0,0,0,0
,915.1256956371484,915.1256956371484,915.1256956371484,915.1256956371484,915.1256956371484,2023-05-23,0,0,0,0,0,0
,908.7425871157698,908.7425871157698,908.7425871157698,908.7425871157698,908.7425871157698,2023-05-24,0,0,0,0,0,0
,914.2779119411406,914.2779119411406,914.2779119411406,914.2779119411406,914.2779119411406,2023-05-25,0,0,0,0,0,0
,915.5744897215402,915.5744897215402,915.5744897215402,915.5744897215402,915.5744897215402,2023-05-26,0,0,0,0,0,0
,928.5401643564268,928.5401643564268,928.5401643564268,928.5401643564268,928.5401643564268,2023-05-29,0,0,0,0,0,0
,928.3406903665872,928.3406903665872,928.3406903665872,928.3406903665872,928.3406903665872,2023-05-30,0,0,0,0,0,0
,934.8733518090172,934.8733518090172,934.8733518090172,934.8733518090172,934.8733518090172,2023-05-31,0,0,0,0,0,0
