Ticker,AAPL,AAPL,AAPL,AAPL,AAPL,Date,sentiment_compound,sentiment_positive,sentiment_negative,sentiment_strength,positive_ratio,negative_ratio
,199.9830474853516,199.9830474853516,199.9830474853516,199.9830474853516,199.9830474853516,2025-05-27,0,0,0,0,0,0
,200.1927947998047,200.1927947998047,200.1927947998047,200.1927947998047,200.1927947998047,2025-05-28,0,0,0,0,0,0
,199.72332763671875,199.72332763671875,199.72332763671875,199.72332763671875,199.72332763671875,2025-05-29,0,0,0,0,0,0
,200.622314453125,200.622314453125,200.622314453125,200.622314453125,200.622314453125,2025-05-30,0,0,0,0,0,0
,201.47134399414065,201.47134399414065,201.47134399414065,201.47134399414065,201.47134399414065,2025-06-02,0,0,0,0,0,0
,203.03956604003903,203.03956604003903,203.03956604003903,203.03956604003903,203.03956604003903,2025-06-03,0,0,0,0,0,0
,202.590087890625,202.590087890625,202.590087890625,202.590087890625,202.590087890625,2025-06-04,0,0,0,0,0,0
,200.402572631836,200.402572631836,200.402572631836,200.402572631836,200.402572631836,2025-06-05,0,0,0,0,0,0
,203.68882751464844,203.68882751464844,203.68882751464844,203.68882751464844,203.68882751464844,2025-06-06,0,0,0,0,0,0
,201.2216339111328,201.2216339111328,201.2216339111328,201.2216339111328,201.2216339111328,2025-06-09,0,0,0,0,0,0
,202.44024658203125,202.44024658203125,202.44024658203125,202.44024658203125,202.44024658203125,2025-06-10,0,0,0,0,0,0
,198.55465698242188,198.55465698242188,198.55465698242188,198.55465698242188,198.55465698242188,2025-06-11,0,0,0,0,0,0
,198.97418212890625,198.97418212890625,198.97418212890625,198.97418212890625,198.97418212890625,2025-06-12,0,0,0,0,0,0
,196.227294921875,196.227294921875,196.227294921875,196.227294921875,196.227294921875,2025-06-13,0,0,0,0,0,0
,198.195068359375,198.195068359375,198.195068359375,198.195068359375,198.195068359375,2025-06-16,0,0,0,0,0,0
,195.418212890625,195.418212890625,195.418212890625,195.418212890625,195.418212890625,2025-06-17,0,0,0,0,0,0
,196.35714721679688,196.35714721679688,196.35714721679688,196.35714721679688,196.35714721679688,2025-06-18,0,0,0,0,0,0
,200.7721405029297,200.7721405029297,200.7721405029297,200.7721405029297,200.7721405029297,2025-06-20,0,0,0,0,0,0
,201.2715759277344,201.2715759277344,201.2715759277344,201.2715759277344,201.2715759277344,2025-06-23,0,0,0,0,0,0
,200.07293701171875,200.07293701171875,200.07293701171875,200.07293701171875,200.07293701171875,2025-06-24,0,0,0,0,0,0
,201.33151245117188,201.33151245117188,201.33151245117188,201.33151245117188,201.33151245117188,2025-06-25,0,0,0,0,0,0
,200.7721405029297,200.7721405029297,200.7721405029297,200.7721405029297,200.7721405029297,2025-06-26,0,0,0,0,0,0
,200.85205078125,200.85205078125,200.85205078125,200.85205078125,200.85205078125,2025-06-27,0,0,0,0,0,0
,204.9374084472656,204.9374084472656,204.9374084472656,204.9374084472656,204.9374084472656,2025-06-30,0,0,0,0,0,0
,207.5844116210937,207.5844116210937,207.5844116210937,207.5844116210937,207.5844116210937,2025-07-01,0,0,0,0,0,0
,212.1991729736328,212.1991729736328,212.1991729736328,212.1991729736328,212.1991729736328,2025-07-02,0,0,0,0,0,0
,213.30792236328125,213.30792236328125,213.30792236328125,213.30792236328125,213.30792236328125,2025-07-03,0,0,0,0,0,0
,209.7119903564453,209.7119903564453,209.7119903564453,209.7119903564453,209.7119903564453,2025-07-07,0,0,0,0,0,0
,209.7719268798828,209.7719268798828,209.7719268798828,209.7719268798828,209.7719268798828,2025-07-08,0,0,0,0,0,0
,210.9006500244141,210.9006500244141,210.9006500244141,210.9006500244141,210.9006500244141,2025-07-09,0,0,0,0,0,0
,212.1692047119141,212.1692047119141,212.1692047119141,212.1692047119141,212.1692047119141,2025-07-10,0,0,0,0,0,0
