Ticker,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS,Date,sentiment_compound,sentiment_positive,sentiment_negative,sentiment_strength,positive_ratio,negative_ratio
,3832.622858739565,3832.622858739565,3832.622858739565,3832.622858739565,3832.622858739565,2024-05-14,0,0,0,0,0,0
,3801.950029375647,3801.950029375647,3801.950029375647,3801.950029375647,3801.950029375647,2024-05-15,0,0,0,0,0,0
,3816.440456776042,3816.440456776042,3816.440456776042,3816.440456776042,3816.440456776042,2024-05-16,0,0,0,0,0,0
,3843.805084589271,3843.805084589271,3843.805084589271,3843.805084589271,3843.805084589271,2024-05-17,0,0,0,0,0,0
,3757.1014753412887,3757.1014753412887,3757.1014753412887,3757.1014753412887,3757.1014753412887,2024-05-21,0,0,0,0,0,0
,3761.416803411751,3761.416803411751,3761.416803411751,3761.416803411751,3761.416803411751,2024-05-22,0,0,0,0,0,0
,3767.252210151692,3767.252210151692,3767.252210151692,3767.252210151692,3767.252210151692,2024-05-23,0,0,0,0,0,0
,3803.837038368416,3803.837038368416,3803.837038368416,3803.837038368416,3803.837038368416,2024-05-24,0,0,0,0,0,0
,3781.03325352592,3781.03325352592,3781.03325352592,3781.03325352592,3781.03325352592,2024-05-27,0,0,0,0,0,0
,3783.975707501734,3783.975707501734,3783.975707501734,3783.975707501734,3783.975707501734,2024-05-28,0,0,0,0,0,0
,3775.04998854492,3775.04998854492,3775.04998854492,3775.04998854492,3775.04998854492,2024-05-29,0,0,0,0,0,0
,3704.529695813898,3704.529695813898,3704.529695813898,3704.529695813898,3704.529695813898,2024-05-30,0,0,0,0,0,0
,3668.23932172806,3668.23932172806,3668.23932172806,3668.23932172806,3668.23932172806,2024-05-31,0,0,0,0,0,0
,3661.1777834219824,3661.1777834219824,3661.1777834219824,3661.1777834219824,3661.1777834219824,2024-06-03,0,0,0,0,0,0
,3629.0070475479474,3629.0070475479474,3629.0070475479474,3629.0070475479474,3629.0070475479474,2024-06-04,0,0,0,0,0,0
,3644.700217308586,3644.700217308586,3644.700217308586,3644.700217308586,3644.700217308586,2024-06-05,0,0,0,0,0,0
,3708.4527346567897,3708.4527346567897,3708.4527346567897,3708.4527346567897,3708.4527346567897,2024-06-06,0,0,0,0,0,0
,3763.672651587923,3763.672651587923,3763.672651587923,3763.672651587923,3763.672651587923,2024-06-07,0,0,0,0,0,0
,3820.265413643011,3820.265413643011,3820.265413643011,3820.265413643011,3820.265413643011,2024-06-10,0,0,0,0,0,0
,3771.22485470778,3771.22485470778,3771.22485470778,3771.22485470778,3771.22485470778,2024-06-11,0,0,0,0,0,0
,3800.060602001018,3800.060602001018,3800.060602001018,3800.060602001018,3800.060602001018,2024-06-12,0,0,0,0,0,0
,3782.798561549058,3782.798561549058,3782.798561549058,3782.798561549058,3782.798561549058,2024-06-13,0,0,0,0,0,0
,3814.38092186984,3814.38092186984,3814.38092186984,3814.38092186984,3814.38092186984,2024-06-14,0,0,0,0,0,0
,3752.638777810969,3752.638777810969,3752.638777810969,3752.638777810969,3752.638777810969,2024-06-18,0,0,0,0,0,0
,3754.2076570551294,3754.2076570551294,3754.2076570551294,3754.2076570551294,3754.2076570551294,2024-06-19,0,0,0,0,0,0
,3723.165119191036,3723.165119191036,3723.165119191036,3723.165119191036,3723.165119191036,2024-06-20,0,0,0,0,0,0
,3753.57053199112,3753.57053199112,3753.57053199112,3753.57053199112,3753.57053199112,2024-06-21,0,0,0,0,0,0
,3735.6703279337926,3735.6703279337926,3735.6703279337926,3735.6703279337926,3735.6703279337926,2024-06-24,0,0,0,0,0,0
,3743.761909380764,3743.761909380764,3743.761909380764,3743.761909380764,3743.761909380764,2024-06-25,0,0,0,0,0,0
,3770.7346228482215,3770.7346228482215,3770.7346228482215,3770.7346228482215,3770.7346228482215,2024-06-26,0,0,0,0,0,0
,3757.493807044908,3757.493807044908,3757.493807044908,3757.493807044908,3757.493807044908,2024-06-27,0,0,0,0,0,0
,3842.627982909809,3842.627982909809,3842.627982909809,3842.627982909809,3842.627982909809,2024-06-28,0,0,0,0,0,0
,3809.476629681037,3809.476629681037,3809.476629681037,3809.476629681037,3809.476629681037,2024-07-01,0,0,0,0,0,0
,3916.973743543969,3916.973743543969,3916.973743543969,3916.973743543969,3916.973743543969,2024-07-02,0,0,0,0,0,0
,3942.867222225506,3942.867222225506,3942.867222225506,3942.867222225506,3942.867222225506,2024-07-03,0,0,0,0,0,0
,3923.10406642612,3923.10406642612,3923.10406642612,3923.10406642612,3923.10406642612,2024-07-04,0,0,0,0,0,0
,3933.0591961591817,3933.0591961591817,3933.0591961591817,3933.0591961591817,3933.0591961591817,2024-07-05,0,0,0,0,0,0
,3944.828753006439,3944.828753006439,3944.828753006439,3944.828753006439,3944.828753006439,2024-07-08,0,0,0,0,0,0
,3908.5384022697513,3908.5384022697513,3908.5384022697513,3908.5384022697513,3908.5384022697513,2024-07-09,0,0,0,0,0,0
,3907.263432139018,3907.263432139018,3907.263432139018,3907.263432139018,3907.263432139018,2024-07-10,0,0,0,0,0,0
,3855.574775619537,3855.574775619537,3855.574775619537,3855.574775619537,3855.574775619537,2024-07-11,0,0,0,0,0,0
,3903.634449912648,3903.634449912648,3903.634449912648,3903.634449912648,3903.634449912648,2024-07-12,0,0,0,0,0,0
,4154.428635820325,4154.428635820325,4154.428635820325,4154.428635820325,4154.428635820325,2024-07-15,0,0,0,0,0,0
,4091.9504222394808,4091.9504222394808,4091.9504222394808,4091.9504222394808,4091.9504222394808,2024-07-16,0,0,0,0,0,0
,4080.180868466435,4080.180868466435,4080.180868466435,4080.180868466435,4080.180868466435,2024-07-18,0,0,0,0,0,0
,4244.3962648333445,4244.3962648333445,4244.3962648333445,4244.3962648333445,4244.3962648333445,2024-07-19,0,0,0,0,0,0
,4227.24104271726,4227.24104271726,4227.24104271726,4227.24104271726,4227.24104271726,2024-07-22,0,0,0,0,0,0
,4210.577683912533,4210.577683912533,4210.577683912533,4210.577683912533,4210.577683912533,2024-07-23,0,0,0,0,0,0
,4215.00161862754,4215.00161862754,4215.00161862754,4215.00161862754,4215.00161862754,2024-07-24,0,0,0,0,0,0
,4222.374672972997,4222.374672972997,4222.374672972997,4222.374672972997,4222.374672972997,2024-07-25,0,0,0,0,0,0
,4276.444704766146,4276.444704766146,4276.444704766146,4276.444704766146,4276.444704766146,2024-07-26,0,0,0,0,0,0
,4340.345723869609,4340.345723869609,4340.345723869609,4340.345723869609,4340.345723869609,2024-07-29,0,0,0,0,0,0
,4316.849742205607,4316.849742205607,4316.849742205607,4316.849742205607,4316.849742205607,2024-07-30,0,0,0,0,0,0
,4276.444426060357,4276.444426060357,4276.444426060357,4276.444426060357,4276.444426060357,2024-07-31,0,0,0,0,0,0
,4325.009451924858,4325.009451924858,4325.009451924858,4325.009451924858,4325.009451924858,2024-08-01,0,0,0,0,0,0
,4291.190940373379,4291.190940373379,4291.190940373379,4291.190940373379,4291.190940373379,2024-08-02,0,0,0,0,0,0
,4167.321924905007,4167.321924905007,4167.321924905007,4167.321924905007,4167.321924905007,2024-08-05,0,0,0,0,0,0
,4100.422196084056,4100.422196084056,4100.422196084056,4100.422196084056,4100.422196084056,2024-08-06,0,0,0,0,0,0
,4156.507295418715,4156.507295418715,4156.507295418715,4156.507295418715,4156.507295418715,2024-08-07,0,0,0,0,0,0
,4110.30242603549,4110.30242603549,4110.30242603549,4110.30242603549,4110.30242603549,2024-08-08,0,0,0,0,0,0
,4145.693800574564,4145.693800574564,4145.693800574564,4145.693800574564,4145.693800574564,2024-08-09,0,0,0,0,0,0
,4158.473852952468,4158.473852952468,4158.473852952468,4158.473852952468,4158.473852952468,2024-08-12,0,0,0,0,0,0
,4141.761324664464,4141.761324664464,4141.761324664464,4141.761324664464,4141.761324664464,2024-08-13,0,0,0,0,0,0
,4137.829027045683,4137.829027045683,4137.829027045683,4137.829027045683,4137.829027045683,2024-08-14,0,0,0,0,0,0
,4276.444493463673,4276.444493463673,4276.444493463673,4276.444493463673,4276.444493463673,2024-08-16,0,0,0,0,0,0
,4346.243891590688,4346.243891590688,4346.243891590688,4346.243891590688,4346.243891590688,2024-08-19,0,0,0,0,0,0
,4428.823597069772,4428.823597069772,4428.823597069772,4428.823597069772,4428.823597069772,2024-08-20,0,0,0,0,0,0
,4441.603572482973,4441.603572482973,4441.603572482973,4441.603572482973,4441.603572482973,2024-08-21,0,0,0,0,0,0
,4482.893774641826,4482.893774641826,4482.893774641826,4482.893774641826,4482.893774641826,2024-08-22,0,0,0,0,0,0
,4423.908127122674,4423.908127122674,4423.908127122674,4423.908127122674,4423.908127122674,2024-08-23,0,0,0,0,0,0
,4413.094132665178,4413.094132665178,4413.094132665178,4413.094132665178,4413.094132665178,2024-08-26,0,0,0,0,0,0
,4428.823803661238,4428.823803661238,4428.823803661238,4428.823803661238,4428.823803661238,2024-08-27,0,0,0,0,0,0
,4422.679098954422,4422.679098954422,4422.679098954422,4422.679098954422,4422.679098954422,2024-08-28,0,0,0,0,0,0
,4384.584878669929,4384.584878669929,4384.584878669929,4384.584878669929,4384.584878669929,2024-08-29,0,0,0,0,0,0
,4423.908383801126,4423.908383801126,4423.908383801126,4423.908383801126,4423.908383801126,2024-08-30,0,0,0,0,0,0
,4498.623077164004,4498.623077164004,4498.623077164004,4498.623077164004,4498.623077164004,2024-09-02,0,0,0,0,0,0
,4444.601917289093,4444.601917289093,4444.601917289093,4444.601917289093,4444.601917289093,2024-09-03,0,0,0,0,0,0
,4401.247872579934,4401.247872579934,4401.247872579934,4401.247872579934,4401.247872579934,2024-09-04,0,0,0,0,0,0
,4405.229552886051,4405.229552886051,4405.229552886051,4405.229552886051,4405.229552886051,2024-09-05,0,0,0,0,0,0
