Ticker,MSFT,MSFT,MSFT,MSFT,MSFT,Date,sentiment_compound,sentiment_positive,sentiment_negative,sentiment_strength,positive_ratio,negative_ratio
,432.1852111816406,432.1852111816406,432.1852111816406,432.1852111816406,432.1852111816406,2025-01-27,0,0,0,0,0,0
,444.7561340332031,444.7561340332031,444.7561340332031,444.7561340332031,444.7561340332031,2025-01-28,0,0,0,0,0,0
,439.9127197265625,439.9127197265625,439.9127197265625,439.9127197265625,439.9127197265625,2025-01-29,0,0,0,0,0,0
,412.7221374511719,412.7221374511719,412.7221374511719,412.7221374511719,412.7221374511719,2025-01-30,0,0,0,0,0,0
,412.791748046875,412.791748046875,412.791748046875,412.791748046875,412.791748046875,2025-01-31,0,0,0,0,0,0
,408.6744079589844,408.6744079589844,408.6744079589844,408.6744079589844,408.6744079589844,2025-02-03,0,0,0,0,0,0
,410.116455078125,410.116455078125,410.116455078125,410.116455078125,410.116455078125,2025-02-04,0,0,0,0,0,0
,411.0314636230469,411.0314636230469,411.0314636230469,411.0314636230469,411.0314636230469,2025-02-05,0,0,0,0,0,0
,413.5475769042969,413.5475769042969,413.5475769042969,413.5475769042969,413.5475769042969,2025-02-06,0,0,0,0,0,0
,407.5107727050781,407.5107727050781,407.5107727050781,407.5107727050781,407.5107727050781,2025-02-07,0,0,0,0,0,0
,409.96728515625,409.96728515625,409.96728515625,409.96728515625,409.96728515625,2025-02-10,0,0,0,0,0,0
,409.1915588378906,409.1915588378906,409.1915588378906,409.1915588378906,409.1915588378906,2025-02-11,0,0,0,0,0,0
,406.8046569824219,406.8046569824219,406.8046569824219,406.8046569824219,406.8046569824219,2025-02-12,0,0,0,0,0,0
,408.2964477539063,408.2964477539063,408.2964477539063,408.2964477539063,408.2964477539063,2025-02-13,0,0,0,0,0,0
,406.1979675292969,406.1979675292969,406.1979675292969,406.1979675292969,406.1979675292969,2025-02-14,0,0,0,0,0,0
,407.4013977050781,407.4013977050781,407.4013977050781,407.4013977050781,407.4013977050781,2025-02-18,0,0,0,0,0,0
,412.5033264160156,412.5033264160156,412.5033264160156,412.5033264160156,412.5033264160156,2025-02-19,0,0,0,0,0,0
,414.6857604980469,414.6857604980469,414.6857604980469,414.6857604980469,414.6857604980469,2025-02-20,0,0,0,0,0,0
,406.793212890625,406.793212890625,406.793212890625,406.793212890625,406.793212890625,2025-02-21,0,0,0,0,0,0
,402.5978393554688,402.5978393554688,402.5978393554688,402.5978393554688,402.5978393554688,2025-02-24,0,0,0,0,0,0
,396.5190124511719,396.5190124511719,396.5190124511719,396.5190124511719,396.5190124511719,2025-02-25,0,0,0,0,0,0
,398.3426818847656,398.3426818847656,398.3426818847656,398.3426818847656,398.3426818847656,2025-02-26,0,0,0,0,0,0
,391.1676330566406,391.1676330566406,391.1676330566406,391.1676330566406,391.1676330566406,2025-02-27,0,0,0,0,0,0
,395.6121520996094,395.6121520996094,395.6121520996094,395.6121520996094,395.6121520996094,2025-02-28,0,0,0,0,0,0
,387.14166259765625,387.14166259765625,387.14166259765625,387.14166259765625,387.14166259765625,2025-03-03,0,0,0,0,0,0
,387.26123046875,387.26123046875,387.26123046875,387.26123046875,387.26123046875,2025-03-04,0,0,0,0,0,0
,399.628173828125,399.628173828125,399.628173828125,399.628173828125,399.628173828125,2025-03-05,0,0,0,0,0,0
,395.5125427246094,395.5125427246094,395.5125427246094,395.5125427246094,395.5125427246094,2025-03-06,0,0,0,0,0,0
,391.9449462890625,391.9449462890625,391.9449462890625,391.9449462890625,391.9449462890625,2025-03-07,0,0,0,0,0,0
,378.840576171875,378.840576171875,378.840576171875,378.840576171875,378.840576171875,2025-03-10,0,0,0,0,0,0
,379.1296081542969,379.1296081542969,379.1296081542969,379.1296081542969,379.1296081542969,2025-03-11,0,0,0,0,0,0
,381.9397888183594,381.9397888183594,381.9397888183594,381.9397888183594,381.9397888183594,2025-03-12,0,0,0,0,0,0
,377.4553833007813,377.4553833007813,377.4553833007813,377.4553833007813,377.4553833007813,2025-03-13,0,0,0,0,0,0
,387.21142578125,387.21142578125,387.21142578125,387.21142578125,387.21142578125,2025-03-14,0,0,0,0,0,0
,387.3509521484375,387.3509521484375,387.3509521484375,387.3509521484375,387.3509521484375,2025-03-17,0,0,0,0,0,0
,382.1889343261719,382.1889343261719,382.1889343261719,382.1889343261719,382.1889343261719,2025-03-18,0,0,0,0,0,0
,386.4739990234375,386.4739990234375,386.4739990234375,386.4739990234375,386.4739990234375,2025-03-19,0,0,0,0,0,0
,385.4974060058594,385.4974060058594,385.4974060058594,385.4974060058594,385.4974060058594,2025-03-20,0,0,0,0,0,0
,389.9020690917969,389.9020690917969,389.9020690917969,389.9020690917969,389.9020690917969,2025-03-21,0,0,0,0,0,0
,391.7157287597656,391.7157287597656,391.7157287597656,391.7157287597656,391.7157287597656,2025-03-24,0,0,0,0,0,0
,393.7885437011719,393.7885437011719,393.7885437011719,393.7885437011719,393.7885437011719,2025-03-25,0,0,0,0,0,0
,388.6165466308594,388.6165466308594,388.6165466308594,388.6165466308594,388.6165466308594,2025-03-26,0,0,0,0,0,0
,389.2243957519531,389.2243957519531,389.2243957519531,389.2243957519531,389.2243957519531,2025-03-27,0,0,0,0,0,0
,377.48529052734375,377.48529052734375,377.48529052734375,377.48529052734375,377.48529052734375,2025-03-28,0,0,0,0,0,0
,374.087158203125,374.087158203125,374.087158203125,374.087158203125,374.087158203125,2025-03-31,0,0,0,0,0,0
,380.863525390625,380.863525390625,380.863525390625,380.863525390625,380.863525390625,2025-04-01,0,0,0,0,0,0
,380.813720703125,380.813720703125,380.813720703125,380.813720703125,380.813720703125,2025-04-02,0,0,0,0,0,0
,371.8150329589844,371.8150329589844,371.8150329589844,371.8150329589844,371.8150329589844,2025-04-03,0,0,0,0,0,0
,358.5910949707031,358.5910949707031,358.5910949707031,358.5910949707031,358.5910949707031,2025-04-04,0,0,0,0,0,0
,356.61798095703125,356.61798095703125,356.61798095703125,356.61798095703125,356.61798095703125,2025-04-07,0,0,0,0,0,0
