Price,Open,High,Low,Close,Volume
Ticker,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS
Date,,,,,
2024-01-23,3797.568003122368,3830.5775375966236,3741.821652307302,3756.91455078125,2618854
2024-01-24,3778.093620029419,3781.6476594002056,3705.6477962212402,3740.89697265625,2657709
2024-01-25,3739.0465469098717,3759.592459378295,3679.4539867078256,3710.22412109375,2205154
2024-01-29,3700.973757486317,3719.669430639141,3681.547782743708,3701.16845703125,1646747
2024-01-30,3707.449148548149,3746.7394707107437,3687.5363052981193,3700.73046875,1411621
2024-01-31,3711.10034274536,3733.301557613305,3696.7377454645057,3715.7255859375,2459358
2024-02-01,3719.669151010243,3802.33918966779,3705.1118546272237,3752.922119140625,2363107
2024-02-02,3773.2733550130965,3879.751176833713,3770.3034145401643,3862.126708984375,2826510
2024-02-05,3878.3885463006027,3916.3642312882307,3858.0375691806425,3868.943359375,1691523
2024-02-06,3892.0204078187335,4040.9044559236536,3885.204259994182,4027.36962890625,4474396
2024-02-07,4043.9232034402817,4045.870674282295,3966.9493708640375,3976.151123046875,2124267
2024-02-08,3982.5779474187925,4048.791957302528,3978.7317399785748,4025.519775390625,2345173
2024-02-09,4027.905136727231,4074.8393750314503,3992.315296643514,4025.13037109375,2100596
2024-02-12,4021.527473476732,4050.350138353779,3997.7194511568555,4012.471923828125,1013716
2024-02-13,4017.097232709837,4060.476958231978,3974.3013681112275,4040.515380859375,1257415
2024-02-14,3999.131032254953,4006.8234463320587,3943.141250332708,3992.412353515625,1391283
2024-02-15,4019.5798449047847,4037.399013046153,3975.7617506652705,3995.431396484375,1091582
2024-02-16,4005.217297984756,4039.0061079304373,3992.4127720420106,4019.871826171875,1307556
2024-02-19,4014.7597884188467,4019.87189957143,3948.4972807094987,3996.015380859375,772291
2024-02-20,3974.885251960021,3990.367549263329,3904.678836638836,3924.786376953125,1193648
2024-02-21,3907.6003511857225,3956.62802606332,3876.051417775102,3886.6650390625,1885939
2024-02-22,3866.7033724629737,3987.3978308394308,3866.7033724629737,3979.754150390625,2982052
2024-02-23,4021.5274818311927,4021.5274818311927,3940.1231016354586,3945.673583984375,2538072
2024-02-26,3929.995870102703,3943.6281649940406,3878.144462748152,3895.9638671875,1379284
2024-02-27,3893.9677521300446,4015.6846736144794,3893.9677521300446,3996.599365234375,2960475
2024-02-28,3988.0307616584355,4045.7730801502776,3981.6040129877983,4010.767578125,1939225
2024-02-29,3991.3414182941815,4029.414567656157,3957.7962811947627,3987.5439453125,3772719
2024-03-01,3999.3263159688886,4031.2646476321634,3979.461970720343,3986.813720703125,2043265
2024-03-04,3997.184035858106,4009.745128114517,3968.8482390752865,3973.522216796875,1749271
2024-03-05,3955.3131781168318,3957.2606489086174,3875.4668756536166,3906.723876953125,2070859
2024-03-06,3889.148304084413,3965.0509384273423,3854.4832253466875,3957.55322265625,1744204
2024-03-07,3958.2342520506186,4015.684638488746,3931.6512290852706,4000.689208984375,2688905
2024-03-11,3981.6041972630856,4043.9232651586194,3981.6041972630856,4014.078369140625,2304068
2024-03-12,4014.078082822845,4118.8521033401985,4012.811941572475,4082.14208984375,4039801
2024-03-13,4094.5577521150612,4129.612229897735,4023.377592414998,4040.028564453125,2837260
2024-03-14,4044.36119419038,4114.031766828185,3978.6825560378616,4097.0888671875,2919608
2024-03-15,4082.48315202997,4127.664379707775,4067.2927846283033,4108.43310546875,3373143
2024-03-18,4104.538423942185,4143.000974857484,4009.6966846246737,4043.4365234375,1526904
2024-03-19,3944.8455765909334,3951.418290603149,3862.4189692920513,3872.837890625,8931209
2024-03-20,3881.3094572416053,3912.4689912686326,3856.1870353866384,3866.60595703125,1817913
2024-03-21,3885.252776197185,3903.1206772114424,3844.3071572326603,3868.601806640625,3829582
2024-03-22,3794.646813799024,3834.5699647781776,3753.7499274301354,3808.181640625,5852485
2024-03-26,3773.2248410803513,3843.0416247876974,3769.768032712524,3775.6591796875,3440925
2024-03-27,3786.3704117242423,3792.6996923404718,3728.8225497991716,3740.0205078125,1968575
2024-03-28,3748.9789017480143,3812.1742365291384,3739.63094645981,3774.49072265625,4311783
2024-04-01,3795.328466689312,3829.9935424376545,3785.9320150576273,3813.878173828125,1569676
2024-04-02,3787.8305687468196,3807.159310827785,3771.277067546641,3781.79345703125,2142666
2024-04-03,3749.8552054933216,3876.440813572816,3749.8552054933216,3843.6259765625,3973090
2024-04-04,3871.4745363238826,3922.839079397691,3831.8922868474538,3898.155029296875,3394637
2024-04-05,3873.5196470852707,3896.8892980480778,3856.479276591557,3874.73681640625,1636819
2024-04-08,3878.3883787453756,3926.7342497611535,3855.9924629253546,3868.212890625,2302538
2024-04-09,3879.3618511619097,3910.375418883656,3821.9601966177256,3842.8955078125,1876992
2024-04-10,3852.4868465326504,3885.399152350213,3815.095500273694,3879.994873046875,2101965
2024-04-12,3866.7034690739947,3907.941260442175,3841.873215117463,3896.304931640625,4354821
2024-04-15,3896.30461271825,3957.45524147311,3816.117647670927,3837.685791015625,4200329
2024-04-16,3799.515299796274,3825.513985849927,3761.3936562953495,3771.082275390625,3051420
2024-04-18,3774.9777388325756,3832.62283143449,3748.881580544407,3760.56640625,3476284
2024-04-19,3737.1964239670265,3751.3643214263843,3701.0707459342584,3725.706298828125,2957749
2024-04-22,3736.2227084131164,3776.145859584588,3711.8793235524627,3763.097900390625,1728883
2024-04-23,3775.2209905357795,3792.699493931328,3759.2030902829515,3772.9326171875,1807586
2024-04-24,3787.830855772767,3795.620739280783,3724.0024502332853,3730.42919921875,1317312
2024-04-25,3711.1005278852026,3771.9102596572366,3710.9058283393892,3751.023681640625,2856271
2024-04-26,3753.8959532403615,3774.977467405439,3702.6776135505615,3720.98388671875,2039178
2024-04-29,3737.1963061097795,3775.951020925688,3718.890033823393,3768.550537109375,1110693
2024-04-30,3770.3034090419674,3779.797329041492,3709.931815198837,3720.302001953125,2203078
2024-05-02,3678.8213268689515,3769.4274595752354,3678.8213268689515,3761.832275390625,2491044
2024-05-03,3787.976967494884,3791.336545070348,3697.857939358929,3742.454833984375,2962234
2024-05-06,3751.802684840144,3836.468934581478,3751.802684840144,3818.0654296875,2053831
2024-05-07,3827.5595549362256,3883.2571780486164,3810.713883222984,3874.44482421875,2062112
2024-05-08,3856.9657945901267,3879.6538762216237,3835.1542174272886,3872.496826171875,1247685
2024-05-09,3857.939783042688,3866.7034019340017,3807.354274876837,3856.18701171875,1726486
